"Handle","Title","Color (product.metafields.shopify.color-pattern)"
"the-crochet-tan-bikini-bottoms-blueberry-cream","The crochet tan bikini bottoms - blueberry cream",""
"the-crochet-tan-bikini-bottoms-blueberry-cream","The crochet tan bikini bottoms - blueberry cream",""
"the-crochet-tan-bikini-bottoms-blueberry-cream","The crochet tan bikini bottoms - blueberry cream",""
"the-crochet-tan-bikini-bottoms-blueberry-cream","The crochet tan bikini bottoms - blueberry cream",""
"the-crochet-tan-bikini-bottoms-blueberry-cream","The crochet tan bikini bottoms - blueberry cream",""
"the-crochet-tan-bikini-bottoms-blueberry-cream","The crochet tan bikini bottoms - blueberry cream",""
"the-crochet-tan-bikini-bottoms-cherry-blush","The crochet tan bikini bottoms - cherry swirl",""
"the-crochet-tan-bikini-bottoms-cherry-blush","The crochet tan bikini bottoms - cherry swirl",""
"the-crochet-tan-bikini-bottoms-cherry-blush","The crochet tan bikini bottoms - cherry swirl",""
"the-crochet-tan-bikini-bottoms-cherry-blush","The crochet tan bikini bottoms - cherry swirl",""
"the-crochet-tan-bikini-bottoms-cherry-blush","The crochet tan bikini bottoms - cherry swirl",""
"the-crochet-tan-bikini-bottoms-cherry-blush","The crochet tan bikini bottoms - cherry swirl",""
"the-crochet-tan-bikini-bottoms-lemon-sorbet","The crochet tan bikini bottoms - lemon sorbet",""
"the-crochet-tan-bikini-bottoms-lemon-sorbet","The crochet tan bikini bottoms - lemon sorbet",""
"the-crochet-tan-bikini-bottoms-lemon-sorbet","The crochet tan bikini bottoms - lemon sorbet",""
"the-crochet-tan-bikini-bottoms-lemon-sorbet","The crochet tan bikini bottoms - lemon sorbet",""
"the-crochet-tan-bikini-bottoms-lemon-sorbet","The crochet tan bikini bottoms - lemon sorbet",""
"the-crochet-tan-bikini-bottoms-lemon-sorbet","The crochet tan bikini bottoms - lemon sorbet",""
"the-crochet-tan-bikini-bottoms-lemon-sorbet","The crochet tan bikini bottoms - lemon sorbet",""
"the-crochet-tan-bikini-bottoms-strawberry-sorbet","The crochet tan bikini bottoms - strawberry sorbet",""
"the-crochet-tan-bikini-bottoms-strawberry-sorbet","The crochet tan bikini bottoms - strawberry sorbet",""
"the-crochet-tan-bikini-bottoms-strawberry-sorbet","The crochet tan bikini bottoms - strawberry sorbet",""
"the-crochet-tan-bikini-bottoms-strawberry-sorbet","The crochet tan bikini bottoms - strawberry sorbet",""
"the-crochet-tan-bikini-bottoms-strawberry-sorbet","The crochet tan bikini bottoms - strawberry sorbet",""
"the-crochet-tan-bikini-bottoms-strawberry-sorbet","The crochet tan bikini bottoms - strawberry sorbet",""
"the-crochet-tan-bikini-bottoms-strawberry-sorbet","The crochet tan bikini bottoms - strawberry sorbet",""
"the-crochet-tan-bikini-top-mocha-melt","The crochet tan bikini top -  mocha melt",""
"the-crochet-tan-bikini-top-mocha-melt","The crochet tan bikini top -  mocha melt",""
"the-crochet-tan-bikini-top-mocha-melt","The crochet tan bikini top -  mocha melt",""
"the-crochet-tan-bikini-top-mocha-melt","The crochet tan bikini top -  mocha melt",""
