"Handle","Title","Size","Variant SKU","Variant ID"
"the-feather-mini-skirt-black","The feather mini skirt - black","S","FEATHER-MINI-SKT-BLK-S",42808529354805
"the-feather-mini-skirt-black","The feather mini skirt - black","M","FEATHER-MINI-SKT-BLK-M",42808529387573
"the-feather-mini-skirt-white","The feather mini skirt - white","XS","FEATHER-MINI-SKT-WHT-XS",42808535220277
"the-feather-mini-skirt-white","The feather mini skirt - white","S","FEATHER-MINI-SKT-WHT-S",42808535253045
"the-feather-mini-skirt-white","The feather mini skirt - white","M","FEATHER-MINI-SKT-WHT-M",42808535285813
"the-feather-mini-skirt-white","The feather mini skirt - white","L","FEATHER-MINI-SKT-WHT-L",42808535318581
"the-floaty-sleeve-crop-top-rose-leopard","The floaty sleeve crop top - rose leopard","4","FLOATY-SLEEVE-TOP-LEO-4",43771870871605
"the-floaty-sleeve-crop-top-rose-leopard","The floaty sleeve crop top - rose leopard","6","FLOATY-SLEEVE-TOP-LEO-6",43771870904373
"the-floaty-sleeve-crop-top-rose-leopard","The floaty sleeve crop top - rose leopard","16","FLOATY-SLEEVE-TOP-LEO-16",43771871068213
"the-floaty-sleeve-crop-top-white","The floaty sleeve crop top - white","4","FLOATY-SLEEVE-TOP-WHT-4",43973898403893
"the-floaty-sleeve-crop-top-white","The floaty sleeve crop top - white","6","FLOATY-SLEEVE-TOP-WHT-6",43973898436661
"the-floaty-sleeve-crop-top-white","The floaty sleeve crop top - white","8","FLOATY-SLEEVE-TOP-WHT-8",43973898469429
"the-floaty-sleeve-crop-top-white","The floaty sleeve crop top - white","10","FLOATY-SLEEVE-TOP-WHT-10",43973898502197
"the-floaty-sleeve-crop-top-white","The floaty sleeve crop top - white","14","FLOATY-SLEEVE-TOP-WHT-14",43973898567733
"the-burnout-maxi-skirt-cream","The fold over burnout maxi skirt - cream","10","FOLD-OVER-SKT-CRE-10",55486823498114
"the-burnout-maxi-skirt-cream","The fold over burnout maxi skirt - cream","12","FOLD-OVER-SKT-CRE-12",55486823530882
"the-burnout-maxi-skirt-powder-blue","The fold over burnout maxi skirt - powder blue","12","FOLD-OVER-SKT-BLU-12",55486800101762
"the-lace-fitted-trousers-white","The fold over lace trousers - white","8","FOLD-OVER-TRS-WHT-8",55721125708162
"the-lace-fitted-trousers-white","The fold over lace trousers - white","10","FOLD-OVER-TRS-WHT-10",55721125740930
"the-lace-fitted-trousers-white","The fold over lace trousers - white","12","FOLD-OVER-TRS-WHT-12",55721125773698
"the-fold-over-ruffle-shorts-beige","The foldover ruffle shorts - beige","4","FOLDOVER-RUFFLE-SRT-BEG-4",55721431138690
"the-fold-over-ruffle-shorts-beige","The foldover ruffle shorts - beige","6","FOLDOVER-RUFFLE-SRT-BEG-6",55721431171458
